RA,DEC,EW_HA
56.368372,31.550316,2.2068553927814505
56.419149,31.626683,1.543211465411357
56.226372,31.489815,4.00212021984092
56.163324,31.747433,2.2841129846765664
56.189258,31.850977,4.934712508399478
56.269644,31.654866,1.8491448762322062
56.304474,31.792726,3.7373423794777536
56.305187,31.835148,0.5919757989342362
56.35253,31.603895,3.7383351427450306
56.258638,31.688773,2.4620504780525505
56.424408,31.737381,3.7570490754645776
56.386949,31.610264,-3.268232079568639
56.305231,31.509487,2.097282489458241
56.283618,31.696789,10.161258749371195
56.072461,31.559588,4.572466603335252
56.375103,31.716687,11.349876666111351
56.276622,31.665859,7.014660211399269
56.235189,31.598398,8.049168614250583
56.108327,31.630584,5.083361890714409
56.129497,31.78837,3.657289926885282
56.031345,31.599839,2.9959141658959743
56.151503,31.754278,0.7281444189911904
56.386746,31.781194,3.3595611917315846
56.320771,31.530619,1.7379593864627778
56.386722,31.781197,3.85586555681346
56.250005,31.849365,1.101181707476217
56.258658,31.688799,2.5111848083526622
56.031346,31.599825,1.4477509032238216
56.163353,31.747458,1.5332426747872445
56.23443,31.514915,2.7104543873859686
56.419149,31.626683,0.8283209706806324
56.234381,31.514866,2.7066087390287192
56.031342,31.599837,1.7606613414140395
56.250122,31.84932,0.9448034529458125
56.348059,31.546432,2.8756813314628618
56.247166,31.549811,1.6358526346413669
56.026983,31.72359,2.518077206422296
56.026983,31.72359,2.4521834309196886
56.250122,31.84932,2.698631472048602
56.151503,31.754278,0.7341560200880167
56.234381,31.514866,2.5308561605340443
56.031342,31.599837,2.9832551306048196
56.026983,31.72359,2.4048463930726967
56.250122,31.84932,2.2247015644907684
56.386746,31.781194,2.726839505496613
56.151503,31.754278,0.6128439087041284
56.234381,31.514866,2.6175695232932434
56.031342,31.599837,1.2508102927186797
56.23443,31.514915,2.6458466698138796
56.163353,31.747458,1.5907117278899006
56.258658,31.688799,2.4206380164953103
56.250005,31.849365,0.9959607578615213
56.247189,31.549877,1.1418966854991228
56.030293,31.652534,1.56492911031896
56.23443,31.514915,2.5836316981412777
56.151443,31.754351,0.6793288335508512
56.247189,31.549877,1.6110180414521105
56.258658,31.688799,1.7070143337980543
56.250005,31.849365,0.9796823436203967
56.052026,31.517007,2.2291247122160165
56.226372,31.489815,3.292287723466144
56.189258,31.850977,4.7315347327094806
56.269644,31.654866,1.8093923809537134
56.140792,31.601314,3.9475539483357056
56.304474,31.792726,4.0854387180832115
56.163324,31.747433,2.012100009883106
56.305187,31.835148,0.26528722247285014
56.35253,31.603895,4.1511495040671225
56.258638,31.688773,2.044256776531341
56.424408,31.737381,3.292140127084597
56.348059,31.546432,2.3133809527572122
56.234381,31.514866,2.977801496436742
56.320771,31.530619,2.7140803588525606
56.026983,31.72359,2.5614085303544942
56.151503,31.754278,0.6944454378783438
56.250122,31.84932,0.9750233482527619
56.247166,31.549811,12.853987644478483
56.031342,31.599837,1.832665724723085
56.163324,31.747433,1.677536158361875
56.305187,31.835148,0.17580417928035336
56.344521,31.723862,0.17511441112949533
56.324817,31.672519,4.363943680385873
56.304474,31.792726,3.424880319966285
56.404593,31.717233,1.7107030321379815
56.419149,31.626683,1.4246331975147128
56.424408,31.737381,4.608506173345892
56.204976,31.724841,1.5947573970046298
56.420786,31.535261,0.6069982181112507
56.214765,31.619691,3.4040546365710975
56.052026,31.517007,1.9036353706501052
56.269644,31.654866,1.3458204197738048
56.368372,31.550316,1.9589773990465706
56.140792,31.601314,3.3044219248808506
56.15126,31.75433,0.8763080421544717
56.02695,31.72364,2.579495880897626
56.23437,31.51488,2.6436503447493696
56.386746,31.781194,3.398470101759013
56.250122,31.84932,0.896962763647082
56.247166,31.549811,1.4233928216487688
56.031342,31.599837,1.5608931923781149
56.348059,31.546432,2.2165339553774834
56.234381,31.514866,2.6706185949308336
