OBJECT_ID,RA,DEC,1_mag_0,1_mag_err_0,DATE-OBS_1_mag_0
216627812425858432,56.1407693734367,31.9750797729372,13.831973,0.018952401,2009-03-19T05:12:51.935
216629113800124544,56.2136633682903,31.9869091929182,17.570909,0.13140405,2009-03-19T05:12:51.935
216629530412699008,56.2197107946229,32.0157006509174,13.883685,0.019417522,2009-03-19T05:12:51.935
216629732274649856,56.2545074871248,32.0405655071199,15.545555,0.043118869,2009-03-19T05:12:51.935
216629874010076544,56.267738578528,32.0515453291477,15.294642,0.038094284,2009-03-19T05:12:51.935
216629869714526464,56.2726011917357,32.0522027883282,15.262393,0.037497153,2009-03-19T05:12:51.935
216629874010075776,56.2740247906534,32.0522264976992,13.158648,0.0138426,2009-03-19T05:12:51.935
216630144591496832,56.2558871077398,32.083816200326,12.199574,0.008875203,2009-03-19T05:12:51.935
216630080168504192,56.2632693014386,32.0681910277111,12.686273,0.011117498,2009-03-19T05:12:51.935
216630114528244480,56.2410190503904,32.0670977028137,14.711586,0.028729412,2009-03-19T05:12:51.935
216630045808768640,56.2544863374864,32.0555511061226,15.647942,0.045379617,2009-03-19T05:12:51.935
216653341711378560,56.2831775621383,32.067199195413,11.295011,0.0058448819,2009-03-19T05:12:51.935
216653337414917888,56.281817795256,32.0607788580442,15.136009,0.035254428,2009-03-19T05:12:51.935
216653371774925440,56.2917389586309,32.0801861505121,15.971772,0.05347232,2009-03-19T05:12:51.935
216653513510060032,56.3181020264611,32.1055305662588,11.094323,0.0053281281,2009-03-19T05:12:51.935
216653577934000640,56.28157329844,32.08715603265,16.697475,0.078649368,2009-03-19T05:12:51.935
216653616588333440,56.26158598094,32.09554843407,20.095642,0.87419907,2009-03-19T05:12:51.935
216653616587969408,56.2620973576961,32.0975060418631,18.104135,0.18618507,2009-03-19T05:12:51.935
216653650947835648,56.2761606400871,32.0978586083499,18.617115,0.26776326,2009-03-19T05:12:51.935
216653577933853696,56.278528058733,32.0947835728689,18.926529,0.33775968,2009-03-19T05:12:51.935
216653650947438208,56.2675554065909,32.0997662501589,17.684479,0.14118366,2009-03-19T05:12:51.935
216653749731821568,56.2850195686087,32.1171873288777,17.369148,0.11602828,2009-03-19T05:12:51.935
216653749732707328,56.27991979701,32.11409421747,17.450238,0.12192244,2009-03-19T05:12:51.935
216654131984022528,56.3212211864472,32.1321397947631,19.671037,0.6118064,2009-03-19T05:12:51.935
216654200704824064,56.3153678370707,32.1368267611398,13.041561,0.013109538,2009-03-19T05:12:51.935
