_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
056.2620973576961	+32.0975060418631	056.26214546798	1.4235	+32.09749439965	0.5017	216653616587969408	-0.0080	2.1382	9.466	3.228	-2.704	2.064	0	1.4440e+02	9.5031e-01	20.2894	0.0071	6.8629e+01	1.0897e+01	20.7601	0.1724	2.4239e+02	1.0917e+01	18.8006	0.0489	1.9595							
056.2761606400871	+32.0978586083499	056.27617780352	1.4052	+32.09784879599	0.5729	216653650947835648	2.7483	2.0009	3.377	2.420	-2.279	2.041	0	1.2370e+02	9.3979e-01	20.4574	0.0082	7.2169e+01	1.4774e+01	20.7055	0.2223	2.0000e+02	9.6246e+00	19.0094	0.0522	1.6962							
056.2785280587330	+32.0947835728689	056.27852858729	1.1492	+32.09477986148	0.4640	216653577933853696	1.4439	1.5281	0.104	2.068	-0.862	1.608	0	1.4508e+02	8.5750e-01	20.2844	0.0064	6.8780e+01	1.0294e+01	20.7577	0.1625	2.5285e+02	8.7116e+00	18.7548	0.0374	2.0030							
056.2675554065909	+32.0997662501589	056.26755737354	0.9119	+32.09974917002	0.4305	216653650947438208	2.0396	0.9209	0.387	1.557	-3.967	1.096	0	1.8223e+02	9.9259e-01	20.0368	0.0059	7.7264e+01	9.7961e+00	20.6314	0.1377	3.1685e+02	8.7578e+00	18.5098	0.0300	2.1217							
056.2850195686087	+32.1171873288777	056.28502427087	0.8457	+32.11718722985	0.3990	216653749731821568	0.4069	0.8462	0.925	1.448	-0.023	1.054	0	2.3504e+02	9.7534e-01	19.7605	0.0045	7.5647e+01	7.9629e+00	20.6544	0.1143	3.6336e+02	5.8621e+00	18.3611	0.0175	2.2933							
056.2799197970100	+32.1140942174700	056.27991979701	10.7848	+32.11409421747	1.9221	216653749732707328							0	7.4374e+01	1.0214e+00	21.0098	0.0149																
056.3271386583593	+32.1042392949229	056.32711887100	0.6011	+32.10413889798	0.2549	216653891467181696	2.8031	0.7692	-3.893	1.296	-23.318	0.650	0	2.6795e+02	9.0936e-01	19.6182	0.0037	5.4731e+01	5.5414e+00	21.0058	0.1099	4.9297e+02	7.9030e+00	18.0299	0.0174	2.9759							
056.3212211864472	+32.1321397947631	056.32121422596	1.3703	+32.13213446018	0.5469	216654131984022528	-1.1042	1.5605	-1.369	2.647	-1.239	1.569	0	1.3640e+02	8.8684e-01	20.3514	0.0071	6.8740e+01	7.0324e+00	20.7584	0.1111	2.1061e+02	7.2137e+00	18.9532	0.0372	1.8052							
056.3257611114600	+32.1317316364432	056.32575490857	1.5374	+32.13172250436	0.5832	216654131984320512	3.3584	2.0056	-1.220	3.185	-2.121	1.983	0	1.1483e+02	7.9477e-01	20.5382	0.0075	7.4003e+01	7.8836e+00	20.6783	0.1157	1.7192e+02	1.0272e+01	19.1736	0.0649	1.5047							
056.3272565916501	+32.1302154054194	056.32723577164	1.3064	+32.13020617431	0.5031	216654131985430528	1.0976	1.5165	-4.095	2.678	-2.144	1.483	0	1.4697e+02	8.2645e-01	20.2703	0.0061	7.1338e+01	7.2821e+00	20.7181	0.1108	2.1649e+02	6.5120e+00	18.9233	0.0327	1.7948							
